47145: Roane, Tennessee
29121: Macon, Missouri
48485: Wichita, Texas
1021: Chilton, Alabama
17045: Edgar, Illinois
21095: Harlan, Kentucky
19037: Chickasaw, Iowa
21001: Adair, Kentucky
37171: Surry, North Carolina
36047: Kings, New York
16081: Teton, Idaho
13129: Gordon, Georgia
12129: Wakulla, Florida
37029: Camden, North Carolina
55139: Winnebago, Wisconsin
55077: Marquette, Wisconsin
39065: Hardin, Ohio
46137: Ziebach, South Dakota
35023: Hidalgo, New Mexico
55133: Waukesha, Wisconsin
53017: Douglas, Washington
53067: Thurston, Washington
54003: Berkeley, West Virginia
30091: Sheridan, Montana
28115: Pontotoc, Mississippi
31107: Knox, Nebraska
16061: Lewis, Idaho
21047: Christian, Kentucky
44003: Kent, Rhode Island
22069: Natchitoches, Louisiana
46059: Hand, South Dakota
45051: Horry, South Carolina
39023: Clark, Ohio
47045: Dyer, Tennessee
20043: Doniphan, Kansas
8043: Fremont, Colorado
12089: Nassau, Florida
27147: Steele, Minnesota
6081: San Mateo, California
54033: Harrison, West Virginia
27071: Koochiching, Minnesota
20175: Seward, Kansas
47151: Scott, Tennessee
55073: Marathon, Wisconsin
18061: Harrison, Indiana
31099: Kearney, Nebraska
51610: Falls Church City, Virginia
22089: St Charles, Louisiana
39159: Union, Ohio
13267: Tattnall, Georgia
51690: Martinsville City, Virginia
37197: Yadkin, North Carolina
21015: Boone, Kentucky
21007: Ballard, Kentucky
48377: Presidio, Texas
12033: Escambia, Florida
22105: Tangipahoa, Louisiana
49033: Rich, Utah
1097: Mobile, Alabama
13151: Henry, Georgia
13149: Heard, Georgia
6017: El Dorado, California
30069: Petroleum, Montana
2122: Kenai Peninsula, Alaska
26087: Lapeer, Michigan
5089: Marion, Arkansas
17169: Schuyler, Illinois
44007: Providence, Rhode Island
45007: Anderson, South Carolina
55025: Dane, Wisconsin
20075: Hamilton, Kansas
36049: Lewis, New York
29219: Warren, Missouri
20127: Morris, Kansas
16059: Lemhi, Idaho
42039: Crawford, Pennsylvania
51640: Galax City, Virginia
5055: Greene, Arkansas
13123: Gilmer, Georgia
6111: Ventura, California
27011: Big Stone, Minnesota
39079: Jackson, Ohio
42053: Forest, Pennsylvania
53013: Columbia, Washington
36033: Franklin, New York
41057: Tillamook, Oregon
29139: Montgomery, Missouri
29105: Laclede, Missouri
38055: Mclean, North Dakota
27063: Jackson, Minnesota
51800: Suffolk City, Virginia
19121: Madison, Iowa
1091: Marengo, Alabama
45043: Georgetown, South Carolina
1075: Lamar, Alabama
47017: Carroll, Tennessee
22077: Pointe Coupee, Louisiana
45013: Beaufort, South Carolina
48059: Callahan, Texas
51685: Manassas Park City, Virginia
37139: Pasquotank, North Carolina
54073: Pleasants, West Virginia
40083: Logan, Oklahoma
17109: McDonough, Illinois
32023: Nye, Nevada
45061: Lee, South Carolina
34041: Warren, New Jersey
51101: King William, Virginia
17003: Alexander, Illinois
12103: Pinellas, Florida
47153: Sequatchie, Tennessee
55003: Ashland, Wisconsin
54053: Mason, West Virginia
2261: Valdez Cordova, Alaska
13121: Fulton, Georgia
47001: Anderson, Tennessee
28155: Webster, Mississippi
37085: Harnett, North Carolina
1071: Jackson, Alabama
12115: Sarasota, Florida
30093: Silver Bow, Montana
31123: Morrill, Nebraska
12086: Miami-Dade, Florida
51005: Alleghany, Virginia
15003: Honolulu, Hawaii
8089: Otero, Colorado
24019: Dorchester, Maryland
55037: Florence, Wisconsin
36043: Herkimer, New York
31105: Kimball, Nebraska
54017: Doddridge, West Virginia
27113: Pennington, Minnesota
6063: Plumas, California
18179: Wells, Indiana
51175: Southampton, Virginia
8095: Phillips, Colorado
42067: Juniata, Pennsylvania
29063: Dekalb, Missouri
48325: Medina, Texas
48321: Matagorda, Texas
51193: Westmoreland, Virginia
51045: Craig, Virginia
27091: Martin, Minnesota
31147: Richardson, Nebraska
30061: Mineral, Montana
6059: Orange, California
48173: Glasscock, Texas
8019: Clear Creek, Colorado
5031: Craighead, Arkansas
29061: Daviess, Missouri
41015: Curry, Oregon
47137: Pickett, Tennessee
17035: Cumberland, Illinois
1103: Morgan, Alabama
31139: Pierce, Nebraska
30101: Toole, Montana
48419: Shelby, Texas
48389: Reeves, Texas
4012: La Paz, Arizona
31033: Cheyenne, Nebraska
40025: Cimarron, Oklahoma
34019: Hunterdon, New Jersey
31039: Cuming, Nebraska
29205: Shelby, Missouri
36075: Oswego, New York
37067: Forsyth, North Carolina
8005: Arapahoe, Colorado
38089: Stark, North Dakota
26055: Grand Traverse, Michigan
27141: Sherburne, Minnesota
36063: Niagara, New York
12125: Union, Florida
48425: Somervell, Texas
26137: Otsego, Michigan
31029: Chase, Nebraska
30033: Garfield, Montana
38075: Renville, North Dakota
22001: Acadia, Louisiana
54039: Kanawha, West Virginia
12127: Volusia, Florida
54041: Lewis, West Virginia
20147: Phillips, Kansas
56029: Park, Wyoming
22047: Iberville, Louisiana
20201: Washington, Kansas
48339: Montgomery, Texas
48039: Brazoria, Texas
54047: McDowell, West Virginia
48239: Jackson, Texas
21037: Campbell, Kentucky
19165: Shelby, Iowa
31089: Holt, Nebraska
37005: Alleghany, North Carolina
26163: Wayne, Michigan
48179: Gray, Texas
37159: Rowan, North Carolina
37039: Cherokee, North Carolina
28011: Bolivar, Mississippi
8119: Teller, Colorado
37133: Onslow, North Carolina
28163: Yazoo, Mississippi
26065: Ingham, Michigan
18021: Clay, Indiana
48473: Waller, Texas
1031: Coffee, Alabama
39117: Morrow, Ohio
39123: Ottawa, Ohio
13279: Toombs, Georgia
48459: Upshur, Texas
55113: Sawyer, Wisconsin
51015: Augusta, Virginia
8031: Denver, Colorado
48167: Galveston, Texas
37193: Wilkes, North Carolina
17203: Woodford, Illinois
35049: Santa Fe, New Mexico
18171: Warren, Indiana
37079: Greene, North Carolina
12079: Madison, Florida
38027: Eddy, North Dakota
40019: Carter, Oklahoma
27117: Pipestone, Minnesota
13107: Emanuel, Georgia
22083: Richland, Louisiana
5109: Pike, Arkansas
5027: Columbia, Arkansas
47043: Dickson, Tennessee
12097: Osceola, Florida
13167: Johnson, Georgia
46071: Jackson, South Dakota
21195: Pike, Kentucky
34033: Salem, New Jersey
37077: Granville, North Carolina
6039: Madera, California
8013: Boulder, Colorado
55141: Wood, Wisconsin
24033: Prince Georges, Maryland
17185: Wabash, Illinois
20049: Elk, Kansas
12055: Highlands, Florida
12035: Flagler, Florida
13171: Lamar, Georgia
47079: Henry, Tennessee
36059: Nassau, New York
48375: Potter, Texas
25009: Essex, Massachusetts
47121: Meigs, Tennessee
29185: St Clair, Missouri
29227: Worth, Missouri
20011: Bourbon, Kansas
32015: Lander, Nevada
12065: Jefferson, Florida
26047: Emmet, Michigan
51139: Page, Virginia
42049: Erie, Pennsylvania
29183: St Charles, Missouri
48115: Dawson, Texas
18181: White, Indiana
45065: McCormick, South Carolina
55083: Oconto, Wisconsin
24023: Garrett, Maryland
2270: Wade Hampton, Alaska
4001: Apache, Arizona
1079: Lawrence, Alabama
18003: Allen, Indiana
55051: Iron, Wisconsin
18057: Hamilton, Indiana
21027: Breckinridge, Kentucky
41041: Lincoln, Oregon
54045: Logan, West Virginia
26099: Macomb, Michigan
28071: Lafayette, Mississippi
51063: Floyd, Virginia
5127: Scott, Arkansas
48451: Tom Green, Texas
51099: King George, Virginia
13009: Baldwin, Georgia
41053: Polk, Oregon
29173: Ralls, Missouri
9013: Tolland, Connecticut
13111: Fannin, Georgia
32031: Washoe, Nevada
48187: Guadalupe, Texas
47183: Weakley, Tennessee
27061: Itasca, Minnesota
51159: Richmond, Virginia
55095: Polk, Wisconsin
18093: Lawrence, Indiana
55033: Dunn, Wisconsin
6113: Yolo, California
40005: Atoka, Oklahoma
13141: Hancock, Georgia
29155: Pemiscot, Missouri
38045: Lamoure, North Dakota
1101: Montgomery, Alabama
50003: Bennington, Vermont
16031: Cassia, Idaho
17077: Jackson, Illinois
36109: Tompkins, New York
4011: Greenlee, Arizona
48349: Navarro, Texas
55127: Walworth, Wisconsin
38081: Sargent, North Dakota
28143: Tunica, Mississippi
18045: Fountain, Indiana
39061: Hamilton, Ohio
35028: Los Alamos, New Mexico
40047: Garfield, Oklahoma
45059: Laurens, South Carolina
38091: Steele, North Dakota
51157: Rappahannock, Virginia
47143: Rhea, Tennessee
27089: Marshall, Minnesota
21207: Russell, Kentucky
47035: Cumberland, Tennessee
30011: Carter, Montana
12069: Lake, Florida
5139: Union, Arkansas
20053: Ellsworth, Kansas
51023: Botetourt, Virginia
18027: Daviess, Indiana
19005: Allamakee, Iowa
49003: Box Elder, Utah
26075: Jackson, Michigan
38051: McIntosh, North Dakota
51109: Louisa, Virginia
29165: Platte, Missouri
48367: Parker, Texas
31121: Merrick, Nebraska
8125: Yuma, Colorado
48355: Nueces, Texas
5069: Jefferson, Arkansas
22073: Ouachita, Louisiana
5003: Ashley, Arkansas
48099: Coryell, Texas
21077: Gallatin, Kentucky
39111: Monroe, Ohio
6019: Fresno, California
17179: Tazewell, Illinois
26059: Hillsdale, Michigan
41033: Josephine, Oregon
8077: Mesa, Colorado
20189: Stevens, Kansas
26079: Kalkaska, Michigan
20125: Montgomery, Kansas
40093: Major, Oklahoma
41005: Clackamas, Oregon
30105: Valley, Montana
17117: Macoupin, Illinois
36087: Rockland, New York
21157: Marshall, Kentucky
18111: Newton, Indiana
37015: Bertie, North Carolina
47189: Wilson, Tennessee
40135: Sequoyah, Oklahoma
30021: Dawson, Montana
54093: Tucker, West Virginia
27151: Swift, Minnesota
51780: South Boston City, Virginia
16063: Lincoln, Idaho
21183: Ohio, Kentucky
17197: Will, Illinois
16083: Twin Falls, Idaho
26159: Van Buren, Michigan
40107: Okfuskee, Oklahoma
48491: Williamson, Texas
29133: Mississippi, Missouri
35009: Curry, New Mexico
47139: Polk, Tennessee
17023: Clark, Illinois
5037: Cross, Arkansas
17125: Mason, Illinois
39033: Crawford, Ohio
30111: Yellowstone, Montana
40051: Grady, Oklahoma
17187: Warren, Illinois
13115: Floyd, Georgia
13219: Oconee, Georgia
46135: Yankton, South Dakota
31073: Gosper, Nebraska
36095: Schoharie, New York
47005: Benton, Tennessee
48133: Eastland, Texas
23027: Waldo, Maine
32033: White Pine, Nevada
8051: Gunnison, Colorado
21113: Jessamine, Kentucky
42093: Montour, Pennsylvania
33009: Grafton, New Hampshire
47103: Lincoln, Tennessee
13135: Gwinnett, Georgia
42095: Northampton, Pennsylvania
48113: Dallas, Texas
29081: Harrison, Missouri
48447: Throckmorton, Texas
17009: Brown, Illinois
36117: Wayne, New York
1027: Clay, Alabama
13257: Stephens, Georgia
1095: Marshall, Alabama
31177: Washington, Nebraska
13087: Decatur, Georgia
13109: Evans, Georgia
42071: Lancaster, Pennsylvania
31035: Clay, Nebraska
5123: St Francis, Arkansas
54063: Monroe, West Virginia
26127: Oceana, Michigan
41045: Malheur, Oregon
47133: Overton, Tennessee
54001: Barbour, West Virginia
39171: Williams, Ohio
5099: Nevada, Arkansas
31059: Fillmore, Nebraska
18055: Greene, Indiana
21053: Clinton, Kentucky
1129: Washington, Alabama
31125: Nance, Nebraska
13283: Treutlen, Georgia
16025: Camas, Idaho
16007: Bear Lake, Idaho
6011: Colusa, California
17001: Adams, Illinois
48293: Limestone, Texas
17137: Morgan, Illinois
21159: Martin, Kentucky
12111: St Lucie, Florida
21029: Bullitt, Kentucky
17131: Mercer, Illinois
2070: Dillingham, Alaska
46115: Spink, South Dakota
31091: Hooker, Nebraska
38049: McHenry, North Dakota
53001: Adams, Washington
16051: Jefferson, Idaho
28029: Copiah, Mississippi
28113: Pike, Mississippi
21009: Barren, Kentucky
48427: Starr, Texas
31041: Custer, Nebraska
37129: New Hanover, North Carolina
16011: Bingham, Idaho
27093: Meeker, Minnesota
40027: Cleveland, Oklahoma
56037: Sweetwater, Wyoming
17167: Sangamon, Illinois
18165: Vermillion, Indiana
8015: Chaffee, Colorado
9005: Litchfield, Connecticut
27169: Winona, Minnesota
6083: Santa Barbara, California
54067: Nicholas, West Virginia
31075: Grant, Nebraska
39103: Medina, Ohio
26063: Huron, Michigan
5061: Howard, Arkansas
53053: Pierce, Washington
49035: Salt Lake, Utah
22067: Morehouse, Louisiana
55059: Kenosha, Wisconsin
22017: Caddo, Louisiana
51025: Brunswick, Virginia
42027: Centre, Pennsylvania
42041: Cumberland, Pennsylvania
26111: Midland, Michigan
51083: Halifax, Virginia
13137: Habersham, Georgia
27003: Anoka, Minnesota
6029: Kern, California
55041: Forest, Wisconsin
48387: Red River, Texas
16067: Minidoka, Idaho
12011: Broward, Florida
53005: Benton, Washington
47177: Warren, Tennessee
21035: Calloway, Kentucky
26029: Charlevoix, Michigan
36009: Cattaraugus, New York
34027: Morris, New Jersey
41017: Deschutes, Oregon
32510: Carson City, Nevada
21181: Nicholas, Kentucky
55005: Barron, Wisconsin
36005: Bronx, New York
17129: Menard, Illinois
6091: Sierra, California
22059: La Salle, Louisiana
54077: Preston, West Virginia
39155: Trumbull, Ohio
18071: Jackson, Indiana
26045: Eaton, Michigan
54059: Mingo, West Virginia
20121: Miami, Kansas
17177: Stephenson, Illinois
12043: Glades, Florida
44009: Washington, Rhode Island
31115: Loup, Nebraska
22111: Union, Louisiana
31183: Wheeler, Nebraska
48185: Grimes, Texas
17043: Du Page, Illinois
51089: Henry, Virginia
21173: Montgomery, Kentucky
37191: Wayne, North Carolina
25021: Norfolk, Massachusetts
51133: Northumberland, Virginia
8041: El Paso, Colorado
21211: Shelby, Kentucky
20185: Stafford, Kansas
51093: Isle of Wight, Virginia
1037: Coosa, Alabama
41051: Multnomah, Oregon
25011: Franklin, Massachusetts
13161: Jeff Davis, Georgia
39093: Lorain, Ohio
8115: Sedgwick, Colorado
13239: Quitman, Georgia
2090: Fairbanks North Star, Alaska
48305: Lynn, Texas
33003: Carroll, New Hampshire
39047: Fayette, Ohio
19143: Osceola, Iowa
30087: Rosebud, Montana
23017: Oxford, Maine
41055: Sherman, Oregon
18175: Washington, Indiana
6037: Los Angeles, California
12077: Liberty, Florida
1087: Macon, Alabama
39107: Mercer, Ohio
12121: Suwannee, Florida
21057: Cumberland, Kentucky
12029: Dixie, Florida
29203: Shannon, Missouri
13269: Taylor, Georgia
20209: Wyandotte, Kansas
12009: Brevard, Florida
31161: Sheridan, Nebraska
22117: Washington, Louisiana
48241: Jasper, Texas
36071: Orange, New York
20199: Wallace, Kansas
39045: Fairfield, Ohio
51770: Roanoke City, Virginia
13113: Fayette, Georgia
47181: Wayne, Tennessee
21129: Lee, Kentucky
36077: Otsego, New York
31049: Deuel, Nebraska
54009: Brooke, West Virginia
20171: Scott, Kansas
21023: Bracken, Kentucky
36003: Allegany, New York
40123: Pontotoc, Oklahoma
12123: Taylor, Florida
17111: McHenry, Illinois
20085: Jackson, Kansas
39037: Darke, Ohio
21101: Henderson, Kentucky
42085: Mercer, Pennsylvania
1093: Marion, Alabama
22097: St Landry, Louisiana
39053: Gallia, Ohio
48287: Lee, Texas
37007: Anson, North Carolina
48143: Erath, Texas
28023: Clarke, Mississippi
24015: Cecil, Maryland
27005: Becker, Minnesota
18011: Boone, Indiana
47155: Sevier, Tennessee
13139: Hall, Georgia
48267: Kimble, Texas
27143: Sibley, Minnesota
48341: Moore, Texas
53065: Stevens, Washington
28021: Claiborne, Mississippi
17089: Kane, Illinois
27075: Lake, Minnesota
51131: Northampton, Virginia
28129: Smith, Mississippi
46007: Bennett, South Dakota
19047: Crawford, Iowa
6043: Mariposa, California
39105: Meigs, Ohio
20151: Pratt, Kansas
26129: Ogemaw, Michigan
48385: Real, Texas
21191: Pendleton, Kentucky
31159: Seward, Nebraska
29163: Pike, Missouri
48453: Travis, Texas
49009: Daggett, Utah
31085: Hayes, Nebraska
48455: Trinity, Texas
2185: North Slope, Alaska
31097: Johnson, Nebraska
20159: Rice, Kansas
29195: Saline, Missouri
16017: Bonner, Idaho
30019: Daniels, Montana
13033: Burke, Georgia
39139: Richland, Ohio
21003: Allen, Kentucky
19045: Clinton, Iowa
51127: New Kent, Virginia
48223: Hopkins, Texas
5001: Arkansas, Arkansas
31081: Hamilton, Nebraska
1115: St Clair, Alabama
49013: Duchesne, Utah
40061: Haskell, Oklahoma
13315: Wilcox, Georgia
30075: Powder River, Montana
46103: Pennington, South Dakota
42073: Lawrence, Pennsylvania
35027: Lincoln, New Mexico
47085: Humphreys, Tennessee
55081: Monroe, Wisconsin
20041: Dickinson, Kansas
5035: Crittenden, Arkansas
53029: Island, Washington
39029: Columbiana, Ohio
21225: Union, Kentucky
55055: Jefferson, Wisconsin
5039: Dallas, Arkansas
55063: La Crosse, Wisconsin
19081: Hancock, Iowa
13159: Jasper, Georgia
48215: Hidalgo, Texas
51069: Frederick, Virginia
15001: Hawaii, Hawaii
19053: Decatur, Iowa
20179: Sheridan, Kansas
22055: Lafayette, Louisiana
55101: Racine, Wisconsin
53063: Spokane, Washington
42131: Wyoming, Pennsylvania
16001: Ada, Idaho
37053: Currituck, North Carolina
21025: Breathitt, Kentucky
42105: Potter, Pennsylvania
36111: Ulster, New York
2013: Aleutians East, Alaska
45037: Edgefield, South Carolina
21091: Hancock, Kentucky
26031: Cheboygan, Michigan
1073: Jefferson, Alabama
37089: Henderson, North Carolina
34015: Gloucester, New Jersey
8033: Dolores, Colorado
13191: McIntosh, Georgia
51840: Winchester City, Virginia
46029: Codington, South Dakota
24043: Washington, Maryland
5113: Polk, Arkansas
54081: Raleigh, West Virginia
30097: Sweet Grass, Montana
34009: Cape May, New Jersey
13299: Ware, Georgia
5041: Desha, Arkansas
26025: Calhoun, Michigan
27059: Isanti, Minnesota
2188: Northwest Arctic, Alaska
29001: Adair, Missouri
8111: San Juan, Colorado
28017: Chickasaw, Mississippi
27129: Renville, Minnesota
38069: Pierce, North Dakota
51735: Poquoson City, Virginia
19135: Monroe, Iowa
18067: Howard, Indiana
39055: Geauga, Ohio
20017: Chase, Kansas
30041: Hill, Montana
48411: San Saba, Texas
35006: Cibola, New Mexico
48067: Cass, Texas
38003: Barnes, North Dakota
39091: Logan, Ohio
37183: Wake, North Carolina
29143: New Madrid, Missouri
42121: Venango, Pennsylvania
30003: Big Horn, Montana
26051: Gladwin, Michigan
28083: Leflore, Mississippi
13067: Cobb, Georgia
16029: Caribou, Idaho
27107: Norman, Minnesota
13319: Wilkinson, Georgia
31017: Brown, Nebraska
2282: Yakutat, Alaska
29169: Pulaski, Missouri
48069: Castro, Texas
23023: Sagadahoc, Maine
51179: Stafford, Virginia
34021: Mercer, New Jersey
48259: Kendall, Texas
13263: Talbot, Georgia
56007: Carbon, Wyoming
53057: Skagit, Washington
38073: Ransom, North Dakota
51071: Giles, Virginia
41025: Harney, Oregon
54021: Gilmer, West Virginia
37011: Avery, North Carolina
13175: Laurens, Georgia
20089: Jewell, Kansas
38011: Bowman, North Dakota
37063: Durham, North Carolina
22033: East Baton Rouge, Louisiana
46093: Meade, South Dakota
1109: Pike, Alabama
21161: Mason, Kentucky
55135: Waupaca, Wisconsin
1019: Cherokee, Alabama
29147: Nodaway, Missouri
30035: Glacier, Montana
5149: Yell, Arkansas
39147: Seneca, Ohio
28101: Newton, Mississippi
13055: Chattooga, Georgia
45005: Allendale, South Carolina
29039: Cedar, Missouri
42059: Greene, Pennsylvania
27035: Crow Wing, Minnesota
35017: Grant, New Mexico
40147: Washington, Oklahoma
5029: Conway, Arkansas
35013: Dona Ana, New Mexico
46027: Clay, South Dakota
20191: Sumner, Kansas
12131: Walton, Florida
26095: Luce, Michigan
51053: Dinwiddie, Virginia
12133: Washington, Florida
21137: Lincoln, Kentucky
46121: Todd, South Dakota
20187: Stanton, Kansas
13147: Hart, Georgia
48001: Anderson, Texas
48313: Madison, Texas
32027: Pershing, Nevada
1105: Perry, Alabama
1089: Madison, Alabama
18133: Putnam, Indiana
39025: Clermont, Ohio
48503: Young, Texas
29017: Bollinger, Missouri
47033: Crockett, Tennessee
17139: Moultrie, Illinois
17055: Franklin, Illinois
27009: Benton, Minnesota
30085: Roosevelt, Montana
13213: Murray, Georgia
29101: Johnson, Missouri
6099: Stanislaus, California
48269: King, Texas
48233: Hutchinson, Texas
18131: Pulaski, Indiana
13075: Cook, Georgia
48309: McLennan, Texas
28061: Jasper, Mississippi
39115: Morgan, Ohio
2220: Sitka, Alaska
17201: Winnebago, Illinois
19171: Tama, Iowa
25019: Nantucket, Massachusetts
26109: Menominee, Michigan
55131: Washington, Wisconsin
53049: Pacific, Washington
17165: Saline, Illinois
27111: Otter Tail, Minnesota
13255: Spalding, Georgia
35055: Taos, New Mexico
18141: St Joseph, Indiana
17199: Williamson, Illinois
13193: Macon, Georgia
37147: Pitt, North Carolina
48331: Milam, Texas
48335: Mitchell, Texas
38103: Wells, North Dakota
48235: Irion, Texas
48297: Live Oak, Texas
40117: Pawnee, Oklahoma
2060: Bristol Bay, Alaska
37017: Bladen, North Carolina
21147: McCreary, Kentucky
38065: Oliver, North Dakota
37055: Dare, North Carolina
13071: Colquitt, Georgia
20181: Sherman, Kansas
51820: Waynesboro City, Virginia
2130: Ketchikan Gateway, Alaska
24035: Queen Annes, Maryland
30025: Fallon, Montana
40137: Stephens, Oklahoma
47169: Trousdale, Tennessee
55039: Fond Du Lac, Wisconsin
5015: Carroll, Arkansas
21177: Muhlenberg, Kentucky
48195: Hansford, Texas
56013: Fremont, Wyoming
19013: Black Hawk, Iowa
37003: Alexander, North Carolina
37119: Mecklenburg, North Carolina
26151: Sanilac, Michigan
40077: Latimer, Oklahoma
13037: Calhoun, Georgia
29073: Gasconade, Missouri
48323: Maverick, Texas
6047: Merced, California
27051: Grant, Minnesota
20071: Greeley, Kansas
5023: Cleburne, Arkansas
19193: Woodbury, Iowa
13091: Dodge, Georgia
40037: Creek, Oklahoma
47165: Sumner, Tennessee
31047: Dawson, Nebraska
17189: Washington, Illinois
27101: Murray, Minnesota
38097: Traill, North Dakota
37173: Swain, North Carolina
29079: Grundy, Missouri
6107: Tulare, California
20197: Wabaunsee, Kansas
28009: Benton, Mississippi
37113: Macon, North Carolina
39071: Highland, Ohio
16045: Gem, Idaho
51085: Hanover, Virginia
42047: Elk, Pennsylvania
28145: Union, Mississippi
22019: Calcasieu, Louisiana
20001: Allen, Kansas
48051: Burleson, Texas
12013: Calhoun, Florida
12085: Martin, Florida
45033: Dillon, South Carolina
30079: Prairie, Montana
37135: Orange, North Carolina
29125: Maries, Missouri
53015: Cowlitz, Washington
28089: Madison, Mississippi
46089: McPherson, South Dakota
24027: Howard, Maryland
39075: Holmes, Ohio
29091: Howell, Missouri
21213: Simpson, Kentucky
19087: Henry, Iowa
6049: Modoc, California
47185: White, Tennessee
32007: Elko, Nevada
49053: Washington, Utah
56027: Niobrara, Wyoming
46013: Brown, South Dakota
31141: Platte, Nebraska
28025: Clay, Mississippi
51760: Richmond City, Virginia
42061: Huntingdon, Pennsylvania
22011: Beauregard, Louisiana
20069: Gray, Kansas
48357: Ochiltree, Texas
47105: Loudon, Tennessee
37051: Cumberland, North Carolina
18149: Starke, Indiana
38009: Bottineau, North Dakota
50017: Orange, Vermont
12049: Hardee, Florida
48123: De Witt, Texas
40053: Grant, Oklahoma
40105: Nowata, Oklahoma
48333: Mills, Texas
13301: Warren, Georgia
53027: Grays Harbor, Washington
27045: Fillmore, Minnesota
32029: Storey, Nevada
50013: Grand Isle, Vermont
39011: Auglaize, Ohio
28015: Carroll, Mississippi
51073: Gloucester, Virginia
48443: Terrell, Texas
31119: Madison, Nebraska
46107: Potter, South Dakota
9009: New Haven, Connecticut
21043: Carter, Kentucky
22029: Concordia, Louisiana
54065: Morgan, West Virginia
46049: Faulk, South Dakota
29009: Barry, Missouri
51530: Buena Vista City, Virginia
29131: Miller, Missouri
26165: Wexford, Michigan
35037: Quay, New Mexico
18173: Warrick, Indiana
6101: Sutter, California
48483: Wheeler, Texas
20079: Harvey, Kansas
53009: Clallam, Washington
28107: Panola, Mississippi
20013: Brown, Kansas
56023: Lincoln, Wyoming
29151: Osage, Missouri
17173: Shelby, Illinois
47159: Smith, Tennessee
28141: Tishomingo, Mississippi
1053: Escambia, Alabama
48095: Concho, Texas
48083: Coleman, Texas
46039: Deuel, South Dakota
39097: Madison, Ohio
20205: Wilson, Kansas
48089: Colorado, Texas
13195: Madison, Georgia
36085: Richmond, New York
20123: Mitchell, Kansas
51191: Washington, Virginia
48199: Hardin, Texas
46069: Hyde, South Dakota
47157: Shelby, Tennessee
48315: Marion, Texas
41001: Baker, Oregon
45079: Richland, South Carolina
48105: Crockett, Texas
39041: Delaware, Ohio
21049: Clark, Kentucky
27139: Scott, Minnesota
41023: Grant, Oregon
28005: Amite, Mississippi
26117: Montcalm, Michigan
56035: Sublette, Wyoming
21221: Trigg, Kentucky
51710: Norfolk City, Virginia
31037: Colfax, Nebraska
48125: Dickens, Texas
20067: Grant, Kansas
22015: Bossier, Louisiana
19127: Marshall, Iowa
17005: Bond, Illinois
48155: Foard, Texas
1029: Cleburne, Alabama
51035: Carroll, Virginia
26001: Alcona, Michigan
28125: Sharkey, Mississippi
30099: Teton, Montana
29187: St Francois, Missouri
13321: Worth, Georgia
27157: Wabasha, Minnesota
20155: Reno, Kansas
6085: Santa Clara, California
37093: Hoke, North Carolina
51001: Accomack, Virginia
46097: Miner, South Dakota
27047: Freeborn, Minnesota
47111: Macon, Tennessee
12067: Lafayette, Florida
19069: Franklin, Iowa
18151: Steuben, Indiana
39175: Wyandot, Ohio
47069: Hardeman, Tennessee
22127: Winn, Louisiana
55115: Shawano, Wisconsin
47117: Marshall, Tennessee
2150: Kodiak Island, Alaska
36113: Warren, New York
18157: Tippecanoe, Indiana
13183: Long, Georgia
19089: Howard, Iowa
55067: Langlade, Wisconsin
26143: Roscommon, Michigan
47047: Fayette, Tennessee
18161: Union, Indiana
37081: Guilford, North Carolina
37047: Columbus, North Carolina
28135: Tallahatchie, Mississippi
21059: Daviess, Kentucky
34003: Bergen, New Jersey
19189: Winnebago, Iowa
19015: Boone, Iowa
8099: Prowers, Colorado
30089: Sanders, Montana
33011: Hillsborough, New Hampshire
21073: Franklin, Kentucky
36039: Greene, New York
46043: Douglas, South Dakota
21109: Jackson, Kentucky
9015: Windham, Connecticut
28039: George, Mississippi
17061: Greene, Illinois
22005: Ascension, Louisiana
17075: Iroquois, Illinois
29211: Sullivan, Missouri
22031: De Soto, Louisiana
20055: Finney, Kansas
36079: Putnam, New York
18099: Marshall, Indiana
51750: Radford, Virginia
49023: Juab, Utah
42113: Sullivan, Pennsylvania
40069: Johnston, Oklahoma
29095: Jackson, Missouri
17049: Effingham, Illinois
28007: Attala, Mississippi
55079: Milwaukee, Wisconsin
37027: Caldwell, North Carolina
48457: Tyler, Texas
46047: Fall River, South Dakota
42045: Delaware, Pennsylvania
1047: Dallas, Alabama
6023: Humboldt, California
26147: St Clair, Michigan
21005: Anderson, Kentucky
17021: Christian, Illinois
48449: Titus, Texas
39003: Allen, Ohio
31117: McPherson, Nebraska
45009: Bamberg, South Carolina
6071: San Bernardino, California
31173: Thurston, Nebraska
16033: Clark, Idaho
29083: Henry, Missouri
48405: San Augustine, Texas
48481: Wharton, Texas
24045: Wicomico, Maryland
1067: Henry, Alabama
48277: Lamar, Texas
20173: Sedgwick, Kansas
49007: Carbon, Utah
19063: Emmet, Iowa
41067: Washington, Oregon
39077: Huron, Ohio
51079: Greene, Virginia
28123: Scott, Mississippi
18085: Kosciusko, Indiana
53069: Wahkiakum, Washington
48345: Motley, Texas
28067: Jones, Mississippi
50007: Chittenden, Vermont
21013: Bell, Kentucky
30055: McCone, Montana
13035: Butts, Georgia
45053: Jasper, South Carolina
8109: Saguache, Colorado
53045: Mason, Washington
47055: Giles, Tennessee
45003: Aiken, South Carolina
42099: Perry, Pennsylvania
13235: Pulaski, Georgia
